,Review Header,Reviews,Ratings
757,Highly recommended,"Best smartphone under 20000rs. Best processor, good look, good battery performance. ""Front camera is best but back camera can be more better. Mi A1 camera is still best .""",5.0
758,Great product,Nice productService s of Flipkart is vry good,5.0
759,Terrific,good,5.0
760,Very poor,The worst phone till now.. if u want a phone in this budget then go for OPPO A3S (3GB/32GB) With Notch Display,4.0
761,Absolute rubbish!,I m wondering.. The Camera quality is very bad... Back camera is much worst than mi note 4...other buyer says camera is good but mine is very bad... Either flipkart cheated me with fake mobile...,1.0
762,Sorry flipkart but your courior partner rubbish,Phone is owesome glorious,5.0
763,Absolute rubbish!,"contact nos deleted automatically... don't purchase it... did format 2 times, but problem not solved... worst experience...",1.0
764,Slightly disappointed,"It heats up, front camera doesn't look like 20 megapixel. Battery is good. Sound quality disappointed me. Overall good for average user. I suggest you to go for 6gb variants if your budget is or if not, you should buy redmi note 5 don't waste your money on pro.",2.0
765,Best in the market!,battery quality is very nice display HD display is very beautiful then camera quality very very beautiful I am use this phone 4 months for a 6 month is very nice battery quality is very nice always very nice,5.0
766,Not recommended at all,good phone no heating problem,1.0
767,Nice product,Blue colour is too good,4.0
768,Terrible product,Dont buy 1. battery drain issue2. Software issue3. Heating up the flipkart vendor n btw policy issue.no return policy. total money waste,1.0
769,Excellent,"Awesome mobile thx xamoii good camera best battery back up and smooth gaming ,good ram management hats off best phone under 15000",5.0
770,Don't waste your money,FLIPKART SOLD ME A PHONE WHICH IS NOT WORKING.  PHONE HAS STOPPED WORKING AFTER ONE DAY.  JUST SWITCHED OFF ON IT'S OWN.  I'VE ALREADY ASKED FOR RETURN AND FLIPKART IS NOT RESPONDING AT ALL.  HORRIBLE EXPERIENCE!  PLEASE DON'T BUY!!,1.0
771,Mind-blowing purchase,Very nice phone from camera quality to battery performance everything is awesome,5.0
772,Great product,amazing features.... worth one.....,5.0
773,Redmond note 5 pro,Quick delivery .... phone  is perfect midrange  nice camera both side amazing display  2hours full charge good battery backup sound quality nice....thanks to Redmi and filpcart,5.0
774,Terrific purchase,Thank you Flipkart for quick delivery...It's been 15 days using this phone and till now no issue faced.best phone under this price.. Camera is superb.long battery life.. No hanging or heating in phone.. Happy with the Product.,5.0
775,Best in the market!,best budget smartphone... awesome device...camera of these phone easily captured images with best clarity... just like a DSLR photography... performances of Mobile is very good.awesome camera..good battery backup..full HD+ display..Best camera features..snapdragon 636 make it fastest..excellent build quality..but not 4k video recording.. overall performance of redmi note 5 pro is awesome..,5.0
776,Did not meet expectations,new phone consists of black mark at the back,1.0
777,Beast in its price segment,"It is a beast in the 10-20k price segment. Pros:1. Fast processor.2. Ram management is efficient.3. Front camera is amazing. Its brilliant. Edge detection is absolutely  amazing. Keeping in view the price segment.4. Rear camera is pretty good in daylight. Depth effect is amazing.5. Battery backup is obviously superb. 1-1.5 days with moderate usage. And 1 day easily with heavy usage.6. Built quality is nice. Phone is also light weight. 7. Single speakers still better than most of the phones. 8. Call quality is perfect. No issues found.Cons: 1. Bloatwares2. Available storage out of 64 gb is less compares to some other phones in the same segment (54.15 GB available). Still not much difference is there. 3. Rear camera is poor in low light.4. Some software issues exist (not able to update MIUI)5. No video stabilization6. Face unlock is problematic, which is also a software issue.7. No fast charging",4.0
778,Super!,super,5.0
779,Excellent,"awesome PHN,,",5.0
780,Nice product,Please i request you not to go for this device at this price point now but there are issues the updates are not frequent the asus will provide better updates and mi community for this device is also very unresponsive so better opt asus and ditch Xiaomi for their worst software experience,4.0
781,Wonderful,note 5 Pro is a budget phone,5.0
782,Terrific,Amazing product and ecom done great job.. Delivered less than 24 hours,5.0
783,Not good,Phone is vry nice. But flipkart is creating fake demand for product. And cheating with there customers in flash sale. But they are actully showing the fake demand for their products. Overall the phone is good. Good backup. Good camera. Everything is good.,2.0
784,Terrific,Proud to use Indian manufactured mobile that too from our state of Andhra Pradesh... jai hind,5.0
785,Very Good,"product quality is good, USB cable is too short.",3.0
786,Great product,very Fast Delivery Good Price I have ordered through gift card very easy option,5.0
787,Wonderful,nice phone..,5.0
788,Pretty good,"The phone is good. The quality of the camera is not GOOD . Images are not sharp at all. Camera Mega pixels are just for numbers, image pixel starts to crack after zooming. . .I bought this phone after reading all reviews.I have been using this phone since last 3 days...Display-9/10.Rear camera-6/10..Front camera-7/10..Miui-9/10..Sound-8/10Touch panel-9/10..Battery-8/10..Performnce-8/10...Look-9/10..I HATE HYBRID SIM SLOT. Fast charger is not included in the box. It should have been there",4.0
789,Excellent,nice phone,5.0
790,Except rear cam in lowlight - rest all superb,One star reduced for Rear Camera - Not good in low light - No comparison with One Plus 5T camera.Rest all is very good.Nice built - Good Design.Perfect Battery - Excellent storage / RAM.,4.0
791,Worst experience ever!,not able to book,5.0
792,Classy product,Delivered FastBattery Is Best Camera Is Good But Not BestUser Interface Is Older Face Unlock Is Best,5.0
793,Delightful,I dint understand the hype for this fone..Camera is jist mediocre where low light photography is just average. Battery is good but that wat you expect from 4000 mah. chin below the screen is still big which dont make 18:9 display size pleasant.,4.0
794,Worth every penny,Best in class.. I would recommend to be patient and buy this one...The flash sales are a bit disappointing.. But this one's worth the patience...So go for it😊 It has no significant competitor till now.. 😜😜,5.0
795,Classy product,no words to describe the phone,5.0
796,Wonderful,Not satisfied with the rear camera low light photography. Day ligh photography is just awesome and so is the 20MP front camera. Display is quite good. Droped one star for low light camera performance and no pro mode in camera.,4.0
797,Must buy!,It's one of the best phone in this price. And will say that mi is doing great work. MI knows that what required for Indian people. And I can say this is the best phone of 2018.,5.0
798,Superb mobile up to now below 15k,Very nice experience with mi. Actually I am against to China products but now it is making in India . So I brought mi note 5 pro ....in 4th sale... Mobile awesome......If you want best Mobile below 15k choose this.....,5.0
799,Blazing fast delivery and phone,Amazingly fast next day delivery and very good mobile except for the weight of 181gms as given in the specifications...having been using it for a week now...compared the cam with s9 and s9+ with the help of samsung showroom Exec to click the dance photo...undoubtedly both are better but the 5mp secondary cam in this has pixellated pics on zooming in... color reproduction is slightly different but again can't compare this to samsung...but u get what u pay for...overall very happy with the phone...trying to figure out the to add 2 extra navigation buttons like lg q6 which I want dispose off after having this,5.0
800,Awesome,Good product longer battery,5.0
801,Must buy!,This is a phone which is not only a phone its a  dream of all youngsters...oyeah its very awsm..,5.0
802,Excellent,Excellent job,5.0
803,Simply awesome,"Awesome Phone..... fast Delivery by Flipkart#Front camera is Awesome ,nice softwareGreat Price ....",5.0
804,Awesome,Excellent Phone in this Price. 1. Battery Life Excellent.2. Camera quality is Good.3. Processor lightning Fast.4. Screen Quality is Excellent.5. 64 GB and 4 GB Combination is perfect.6.face unlock is amazingYou can't get better combination in this Price at this Time. I write this Review after 10 Days.,5.0
805,Must buy!,Totally Value for Money.,5.0
806,Really Nice,Nice phone with best camera. Portrait mode is very good.,4.0
807,Awesome,Super amazing beautiful design..and the best part is camera's .pics click like dsrs cameras Snapdragon 636 is more power efficient..,5.0
808,Mind-blowing purchase,I am happy,5.0
809,Must buy!,suprb I buy 18 more phones,5.0
810,Must buy!,Super super super super super super super super super super super super super super super super,5.0
811,Perfect product!,True note 3 successor ... Simply superb...,5.0
812,Just wow!,Good handset,5.0
813,Awesome,I was buy this phone 2018 but now 2020 I'm using this phone it's perfect👍,5.0
814,Brilliant,Nice mobile to use with 4Gb Ram,5.0
815,Fabulous!,Good  product,5.0
816,Absolute rubbish!,Dear AllI strongly recommend please do not purchase MI Note product as once warranty gets expired then mobile doesn't works stuck at MI logo.Local repair mobile tells mostly MI product has motherboard issues and cost around 3800/- Rs.,1.0
817,Not good,I've changed my rating to two from five after 1.5yrs of usage because battery started to drain out quickly. I need to charge twice in a day even though there is no increase in the usage and no. of apps,2.0
818,Super!,This phone is just awesome👏✊👍Really love it ❤❤💖💖,5.0
819,Worth every penny,nice product.. satisfactory camera performance..,5.0
820,Best in the market!,exlent mobile redmi note 5 prothanks for Flipkart,5.0
821,Fabulous!,nice mobile with best camera,5.0
822,Simply awesome,nic but not perfect,5.0
823,Pretty good,Review is for mobile only. Service from flipkart was not upto mark and deserve 1* due to very stringent replacement criteria. They expect brand new phone as replacement and quick to charge additional money in case of very minute scratch mark.,4.0
824,Terrific purchase,Loved it.!,5.0
825,Highly recommended,nice 📷,5.0
826,Simply awesome,Very nice phone. Camera is very good. Battery backup is also nice.,5.0
827,Terrific purchase,nice mobile,5.0
828,Worth every penny,"after using near 2 year i give my feedback...in this 2 year i have done many type of experiments, but unfortunately i failed every time...",5.0
829,Useless product,"Samsung users beware..stay clear of Mi phones. These cheap Chinese phones are chock full of advertisements everywhere and have the worst user friendly UI in comparison to Samsung's premium User interface. You will see a barrage of notifications from apps you did not install, advertisements that use your browsing history without your knowledge, apps that you cannot install with cryptic names and so on. I wonder how such a conpany is even allowed to sell its way through with such major concerns. Purely on a paisa vasool, the specs may work but the end user experience itself is cringe worthy to stay away from this phone. I would stick to Samsung.",1.0
830,Unsatisfactory,battery is not as much as good,1.0
831,Worth the money,Mi note 5pro camera best photographic,4.0
832,Absolute rubbish!,Motherboard damaged after 1 year 1 month.,1.0
833,Unsatisfactory,No replacement mobile flipkart is no good service,1.0
834,Must buy!,Sup 👍👍👍,5.0
835,Worst experience ever!,Disappoint,1.0
836,Moderate,bed,2.0
837,Sound issue,"In just 15 months of usage, phone is not audible on call",2.0
838,Great product,No complaints used it for 1 year,5.0
839,Waste of money!,poor quality display,1.0
840,Worth every penny,Awesome Mobile in this range... This phone is loaded with all the latest features of present... And camera is also mind blowing... Thanks to Flipkart and MI,5.0
841,Worst experience ever!,"hardware is very bad I am not use one year, mobile has gone,",1.0
842,Horrible,"Overall I'm Not Satisfied, Feeling Like Spent Money on a Wrong Product",1.0
843,Bad quality,"the phone is otherwise pretty good but for the last 2-3 months i am facing a serious problem in it. the voice of the person at the other end during calls is very low and in noisy environment hardly audible, so much so that I have to often turn on the speaker. since calling is the most important reason we buy a phone for so there is a big problem there. one of my friends is also facing the same problem with another model of the company.",2.0
844,Don't waste your money,Speaker has been damaged,1.0
845,Not recommended at all,"I got Fault Piece, It seems it was refurbished one or having other software problem, Heating issues with bettery, below par battery back up",1.0
846,Brilliant,"nice product ,economical.",5.0
847,Bad quality,This handset freezes several times after the Android Pie update,2.0
848,Worth every penny,awesome camera quality.,5.0
849,Awesome,ultimate,5.0
850,Super!,"This phone is the best out there in this budget. The display, battery, performance are great. Been using this phone for more than 2 years and still not a problem faced till now. Thumbs up for this one!",5.0
851,Terrific purchase,"superb mobilemayank saini,👍👍👍👍,,😢😊😊😊😊😊",5.0
852,Mind-blowing purchase,very very  good redmi not 5 pro phone  i am using 1 years,5.0
853,Excellent,Nice phone in this budget Very nice,5.0
854,Super!,It's just 1 year 2 months to be for this phone.. battery is already giving up.. takes a lot f time to charge but with internet on and little bit activity getting discharged within 5-6 hrs...Disappointed with battery.. rest of features are good value for money..,5.0
855,Wonderful,the phone is really good. camera is brilliant and a great battery life,4.0
856,Excellent,very nice productall features are great at this price,5.0
857,Delightful,"awesome camera ,Display ok ,phone some times hanging",4.0
858,Worth every penny,nice product i loved it.... 😊,5.0
859,Expected a better product,After 1 year speaker will damage,2.0
860,Must buy!,Nice mobile,5.0
861,Not recommended at all,"battery down within one year, if I charge in the morning, it is getting drained off by evening...",1.0
862,Pretty good,good phone works fine,4.0
863,Decent product,camera is not upto the mark like micromax yu yuphoria. price is high. Battery is good. display is good. my brother phone get issue within two month. I am facing too after purchase.,3.0
864,Great product,One year completed. There is not a single complaint in the mobile. Thanks Flipkart Thanks MI,5.0
865,Pretty good,"1) DesignNice design and good build quality, as has been the case with the entire Redmi Note series. The design is simple and works, but is largely a continuation of the old Redmi Note design - it's not a gorgeous, stand out device by any means.2) DisplayNice looking, modern 5.99 inch 18:9 display, with minimal bezels and has good viewing angles, brightness levels, and colour reproduction looks pleasing in day-to-day useIn spite of the large screen, the phone remains quite ergonomic because of the tall, minimal-bezel form factor.3) SoftwareMIUI interface over Android is snappy, and offers some added features such as dual apps and second space with dual apps, one can run separate accounts of the same service/app and the second space functionality provides separate user experiences for example for work and home while MIUI is one of the nicer Android UI's, it does have some bloat in terms of unneeded apps and a lot of people still prefer a more stock Android approach.4) PerformanceStellar performance, the single most defining aspect for the Note 5 Pro may be the excellent new chip that powers it the Snapdragon 636 in short in terms of both benchmarks and real life use it blows every other phone in the price bracket out of the water be it the loading times for heavy games, opening multiple apps or just switching between multiple heavy apps and games  the phone simply sails through everythingThe heat management is excellent too the phone hardly gets warm even after playing games on the phone for an hour straight5) CameraVery good set of dual cameras at the rear - you have a 12MP primary camera (Sony IMX486) with a sensor size of 1.25um and an aperture of f/2.2 - the secondary 5MP camera is used for depth sensing only and has a sensor size of 1.12um with f/2.0 aperture - in ample lighting conditions, the camera captures a good amount of details and has a punchy colour reproduction - low light image capabilities are equally good and the camera has good dynamic range - even the portrait (bokeh) images look better than most of its competitors - they carry plenty of details and the background blur is also quite good.On the whole, Redmi Note 5 Pro offers everything you need from this price bracket - superior performance, excellent battery life and a good camera - simply put, this is almost a complete package when it comes to mid-range smartphone but still continues with the old micro USB standard, there is no modern USB Type-C support.",4.0
866,Perfect product!,it's been 10 months and phone doesn't feel outdated in any way. Brilliant and Clear CameraExcellent Battery LifePerformance PowerPacked Solid Built Perfect All Rounder from Redmi,5.0
867,Really Nice,It's been a year I have bought this mobile and there is no problem  .But I feel the cost of latest ones of xiaomi  are better with the better features.,4.0
868,Worth the money,One of the best phone of Mine.,4.0
869,Simply awesome,awsum phone.great cameragood battery lifesmooth performancevibrant displaynice touch sensitivity,5.0
870,Perfect product!,perfect deal with perfect product...Great Experience.,5.0
871,Must buy!,After 11 month Headphone not connect,5.0
872,Super!,too good phone,5.0
873,Just wow!,beast 🔥😎 go for it...... 💯👍,5.0
874,Highly recommended,very much glad for buying this 💞💞💞,5.0
875,Good quality product,nice phone,4.0
876,Classy product,awesome camera,5.0
877,Delightful,good,4.0
878,Brilliant,the best for the price no other mobile can be matched to this with its price,5.0
879,Worst experience ever!,hang mobile,1.0
880,Terrific,I have purchased the phone approximately 12months ago and it is working fine without any glitches. The camera is great and the overall performance is superfine for a smartphone at a range of 10K.,5.0
881,Awesome,Very nice,5.0
882,Super!,best note series in redmi ..  better than note 6 pro n note 7 pro.. best budget phone for the specs,5.0
883,Must buy!,very good product....u must buy it without any hesitation..,5.0
884,Super!,super mobile,5.0
885,Best in the market!,Phone is awesomebattery backup is damn goodi use google map 7 hrs a day it takes 28% battery drainslighty lesser is performanceand yes it has some audio problems some time after update,5.0
886,Terrific,Redmi note 5 pro is best mobile,5.0
887,Delightful,Value for money,4.0
888,Wonderful,Nice product,5.0
889,Terrific purchase,gud,5.0
890,Classy product,verry nice,5.0
891,Must buy!,I am so happy this product order by flipkart tq so much,5.0
892,Very Good,product is very good...but delivery is too late,4.0
893,Simply awesome,I got my mobile in best condition and in a short time,5.0
894,Worth every penny,Good,5.0
895,Super!,superb performance.. camera awesome click... all over nice.. value for money,5.0
896,Did not meet expectations,after 3 months it's both speakers will dead,1.0
897,Best in the market!,Nice products you can go for it,5.0
898,Excellent,Amazing Camera.. Brilliant Photos In Low Light. At this Price You must go for It..,5.0
899,Best in the market!,Awesome phone,5.0
900,Super!,nice phone nice camera,5.0
901,Just wow!,"Pros:Value for moneyFront camDisplayScreen SizePerformanceLooks (just like iphoneX)ROMAndroid OreoPotrait mode in both camsProcessorCons:low light rear cam is not goodCould have given fast chargingBattery life is ok okRAM could be 6 GBOverall its a budget phone with a good quality cam, processor, performance, Android oreo and so many other features....definitely go for it!",5.0
902,Wonderful,"Using this since almost an year and believe me !!! This is all I wanted a beast in a budget...even I'm not attracted towards note 6pro , 7pro because I feel this one !!!! It has amazing performance. No problem with it yet !! Camera don't just ask visit my insta at amiya_kar to know it yourself !! Gaming ?? PubG and Call of Duty together is running smoothly !!! I have no words to explain it's charisma.",5.0
903,Absolute rubbish!,"After 7 months, Charger starts heating after 5 minutes of charging. Please help",1.0
904,Perfect product!,Very nice product from Redmi I didn't expect these performance from them it's very fast and battery life is amazing... Thanks Redmi for products like this... Please avoid flash sales to improve your sales....,5.0
905,Slightly disappointed,GOOD PRODUCT AT THIS PRICE SEGMENT,2.0
906,Bad quality,The worst mobile i used since now.  Phone is hanging like anything.  very slow processing.  One of the worst product from mi,2.0
907,Simply awesome,Very good quality please buy it,5.0
908,Did not meet expectations,heating too much and camera not working properly when putting charge it's getting tooo much hot,1.0
909,Simply awesome,Good,5.0
910,Simply awesome,value for money,5.0
911,Perfect product!,goood,5.0
912,Does the job,I bought this mobile in October 2018. But as the review says you will think its a very good mobile but reality is not that.This phone lags. Apps crash most of the times.Screen is very dull. Im bright sunlight we can't read properly. This is a biggest downside. I wish this phone has some buyback guarantee so that one can order other phone. Very bad from Xiaomi. Degrading performance after they have established them no. one in India now. I have never used other phones after Xiaomii arrived here. Giving 3 stars only. Much more expected.,3.0
913,Simply awesome,Very good,5.0
914,Great product,Value for money,5.0
915,Best in the market!,flipkart is best online shoping,5.0
916,Simply awesome,save money nice product,5.0
917,Fabulous!,one year compete to my phone &  no hang no battery issue really this phone is good to ruf & tuf use,5.0
918,Value-for-money,excellent,4.0
919,Classy product,good camera quality,5.0
920,Excellent,dude😎...im using the phone... it runs very fast no hanging good quality of 📷 . good battery life. good recording quality. man just grab it...nothing to complain about anything.,5.0
921,Worst experience ever!,Phone getting hang,1.0
922,Terrific purchase,amazing phone,5.0
923,Terrific purchase,good,5.0
924,Delightful,Very Good product no any issue after using the set almost 9 month.,5.0
925,Good quality product,Best smart phone in this price,4.0
926,Mind-blowing purchase,phone looks so nice and camera is also good. no phone have so much features like this with in this price which you spending on this,5.0
927,Mind-blowing purchase,fast processor good lookand awesome,5.0
928,Wonderful,good job mi...,5.0
929,Value-for-money,"Pretty gud Mobil for price 9999 on big sale loved the camera clarity display is big to watch movies, matches overall gud mobile worth for price",4.0
930,Terrific,good,5.0
931,Fair,nice,3.0
932,Classy product,Wonderful product,5.0
933,Great product,note 5pro is so good luck and super mobile phone,5.0
934,Terrific,just fatafatiiiioo,5.0
935,Mind-blowing purchase,very good performance..,5.0
936,Fabulous!,Excellent phone,5.0
937,Absolute rubbish!,One month after loud 🔊 speaker problem.... Display quality after see camera pictures poor,1.0
938,Super!,one of the finest mobile ever.,5.0
939,Super!,"Simply awesome and a complete value for money device. writing this review after using 6.5 month since I purchase this phone. I didn't see any flaws, lag Or any performance related issues, it's working very smooth. I used to spend a lot's of my time on phone since I handle most of my work using the phone itself. I literally got freedom from being depended on laptop. All thanks to note 5 pro team for building such a fantastic device.",5.0
940,Really Nice,"Really great phone although a year old,  but the good news Xiaomi confirmed that it will get Android pie update via ota. Great news for y'all.",4.0
941,Terrific,very gd product,5.0
942,Great product,Good phone. I am very happy. 😄😄😄,5.0
943,Fabulous!,"Using it for last 4 5 months maybe. Till now no issue came up. Front Camera quality is not what you would be expecting of it, Rear camera is good though. Overall a lovely worth for money product.",5.0
944,Terrific,very very nice,5.0
945,Highly recommended,I like this MI note 5 Pro phone and best quality portrait camera mode I justify this mobile for money value battery performance is the best actor m i.,5.0
946,Terrific,"Awesome fon, but now available only in 10999 k",5.0
947,Simply awesome,"I'm using this mobile for past 8 months. Initially there was battery drain issues but fixed in next MIUI updates. Now working fine. No hanging issues. No heating problem. Battery also good.Edit: Used 1 year, still good as before👍",5.0
948,Good choice,Camera & Battery is good,4.0
949,Must buy!,Love it,5.0
950,Decent product,Nice looking and happy this mobile phone,3.0
951,Classy product,Good display and good better bacup,5.0
952,Brilliant,everything good except weight little bit heavy,5.0
953,Delightful,camera is awesome...,4.0
954,Brilliant,No.1 Mobile In India🇮🇳🇮🇳🇮🇳,5.0
955,Highly recommended,Good budget phone with great performance and specifications.,5.0
956,Really Nice,nice smartphone... I'm interested to buy this before 6 months but now I bought this on one day offer for 10k.. so happy with flipkart...,4.0
957,Awesome,I think note 6 better then note 5 for price.note 5 also good mobile...,5.0
958,Excellent,look is better than notch mobile. orderd a second one with 6GB RAM at 11K . overall great experience,5.0
959,Simply awesome,very nice phone ... I have buy 3 mi note 5 pro phones,5.0
960,Super!,overall good product,5.0
961,Nice product,nice mobile in this budget..pros:Excellent front camerasuper cool displaymore battery backupcons:performance wise 4gb varient is better than 6gbno android or miui updates as expected.Stucks when you play high memory games like pubg,4.0
962,Classy product,awesome,5.0
963,Super!,very good,5.0
964,Fabulous!,value for money,5.0
965,Great product,Very nice phone,5.0
966,Mind-blowing purchase,"Amazing product, 100 times better then Nokia 6.1 plus",5.0
967,Moderate,Charging wire is too short.,2.0
968,Good quality product,Prize is comfortable..,4.0
969,Good choice,good,4.0
970,Terrific,Good performance,5.0
971,Fabulous!,"M jst so impressed with dis phone..... It's totally amazing.... Love my Redmi Note 5 pro.... The best phone.... Camera, battery, features r so very good..... Superb phone at an amazing price......",5.0
972,Highly recommended,Good product,5.0
973,Good choice,Awesome product in this price range.,4.0
974,Just wow!,Its very nice for people who are looking for a all rounder android mobile....as well as it is budget phone...in sale i got for 11000 ₹ ( 4 gb ram )selfi lovers must buy 😘 hd selfies,5.0
975,Just wow!,In this price 10999 best mobile in this range.,5.0
976,Great product,amazing product @amazing price 11000/- thanks flipkart.,5.0
977,Could be way better,It has more hanging problem.. I will never purchase from flipcart from now... Totally third class service... Even they didn't resolve my problem... Cheaters totally,2.0
978,Mind-blowing purchase,i am using this redmi note 5 pro 4gb variant from april 2018 and i did't face any single problem till now best phone ever,5.0
979,Just okay,In this budget go for it 👏,3.0
980,Brilliant,classic package phoneexcellent cameraexcellent performancego get it,5.0
981,Best in the market!,Just Awwsome!After research found phenomenol device!,5.0
982,Could be way better,Battery lasts for a day only.... 4000 mah battery drains very quickly while playing game.......,2.0
983,Awesome,very  nyc..i love it,5.0
984,Wonderful,nice product ....good quality....Super fast delivery by Flipkart with in 18hrs .....best,4.0
985,Absolute rubbish!,Battery issues,1.0
986,Just wow!,Superb,5.0
987,Just wow!,Awesome in Budget..,5.0
988,Worth the money,untill now it good 3/4 day battery life with full time using internet 4g voltewhile Playing pubg halfday.... sometimes screen drop while playing....camera good...while zoom the pic pixels are breakingperformance good....good for buget,4.0
989,Nice,after update battery backup getting is not good.. heating problems,3.0
990,Awesome,i bought it for 10999 and this the #1 mobile in this range..evrything is superb,5.0
991,Pretty good,I have not receive full protection insurance. please give me insurance paper,4.0
992,Simply awesome,"I have purchased this second time to gift some one and trust me still its stands no.1 mobile ever produced by MI. everything is excellence camera, battery, performance etc. no doubt one of the best selling device. I don't want to say anything about the phone as it's a one year old phone but still sell like hot cake.",5.0
993,Best in the market!,i have battery issue in my new note 5 pro,5.0
994,Brilliant,Nice Mobile good value for money,5.0
995,Brilliant,value for money best product..👍👍👌👌👌💐💐,5.0
996,Just okay,Overall product is ok. Accuracy of screen while typing is not great. Camera has issues in bad lights.,3.0
997,Fabulous!,"I buy it at sale days in just 10999 , it is very good in this price, mobile is very good but there is only one problem it comes with hybrid slot, instead of dedicated slot",5.0
998,Terrific,Nice product.,5.0
999,Just wow!,good product value for money. in between note 6 pro and note 5 pro i would like to suggest note 5 pro,5.0
1000,Best in the market!,I love it tnku mi and u dsrv as no 1 in all ovr the world,5.0
1001,Excellent,Super,5.0
1002,Great product,superb phone,5.0
1003,Highly recommended,Nice,5.0
1004,Highly recommended,Very nice,5.0
1005,Slightly disappointed,but I get old manufacturing not good. bad experience,2.0
1006,Fabulous!,mobile osm I love this mobile supperrr note 5pro,5.0
1007,Brilliant,"Got in Rs.10999/- only. Less price But super feauters,2019 Best Smartphone.XCELLENT& MARVALAS,,SUPEROOOOO SUPERRRRRRR",5.0
1008,Classy product,Good product,5.0
1009,Mi Note 5 Pro is the best in this kind of segment of phone,Redmi Note 5 Pro is the best in this kind of segment of phone.1.Good Performance 2.Good Battery backup3.screen display4.Camera is also good etc...,5.0
1010,Pretty good,Camera is superb...display is good...phone looks stylish..facing some issues  with touchen sensitiveness.. have to use for a longer period to check if this is actually an issue or if it is something I felt. altogether a good package,4.0
1011,Fabulous!,For 11000 value for money,5.0
1012,Mind-blowing purchase,BRILLIENT DEAL AND BEST MOBILE AT RS 10999,5.0
1013,Good quality product,"overall good phone, 3 month till now and did not face any problem.",4.0
1014,Highly recommended,"A good phone with best features. You have all that you want at affordable price. I got it on Flipkart sale for 10,999 and it is terrific. the blue shine on the back is breath-taking. However, it would be nice if flipkart allows card transactions during cash on delivery.",5.0
1015,Brilliant,nice pics,5.0
1016,Perfect product!,"Everything is awesome about this product,delivery was very fast thanks to flipkart.But there is one thing I want to share with everyone that after i opened the box for the first time i intentionally didn't touch the phone and landed it directly from the box to my bed gently.What i saw was a light fingerprint at the back of the phone and how the hell it came there??? Dont know if the mobiles sold in the flipkart sale are really genuine or not.",5.0
1017,Delightful,good,4.0
1018,Wonderful,excellent,4.0
1019,Must buy!,Good product,5.0
1020,Just wow!,So good,5.0
1021,Wonderful,"Great deal under 10999/- awesome camera, and battery.",5.0
1022,Hated it!,Dont buy Xiaomi product at the time of Sale because they send product with out packing.i received the mobile but phone is not having proper seal and plastic on the box was missing.,1.0
1023,Awesome,"this is my second order for redmi note 5 pro ,worth the price complete value for money ,excellent delivery by Flipkart ,awesome front camera great display good battery backup",5.0
1024,Wonderful,Got the deal for just 10999...value for money. Still in 2019 it is relevant to buy note 5 pro.,5.0
1025,Good choice,nice phone bt battery backup ykk,4.0
1026,Excellent,Nice mobile,5.0
1027,the seller never respond once you purchase and return is not,the seller never respond once you purchase and return is not accepted. worst mobile...request all dont buy.,1.0
1028,Terrible product,Flipkart company is  Touter,1.0
1029,Simply awesome,super mobile,5.0
1030,Brilliant,"buy it 9,900 great",5.0
1031,Terrific purchase,on time delivery and delivery boy behaved me very polity nice delivery,5.0
1032,Fair,Super,3.0
1033,Pretty good,Phone is good,4.0
1034,Worth every penny,Very nice mobile In all aspectsI got it on 20 oct 2018,5.0
1035,Wonderful,Review after 6months of usage.. Everything was good with this Phone.Value for money.A few times lagging in camera specifically while taking pictures with Portrait mode.Now price also dropped drastically arround 4k.Now 4GB variant come under 10k with Bank offer.Pics was awesum..needs some improvements in software.,4.0
1036,Highly recommended,Good product,5.0
1037,Classy product,"Totally worth it! Considering the price to performance ratio, it's an amazing buy. The specifications are great, and though the MIUI is kind of meh, this phone is provides great value for the price. Camera performance is good too. Battery backup is excellent and has nice build. Great phone to buy in this price range!",5.0
1038,Best in the market!,Super,5.0
1039,Excellent,super,5.0
1040,Terrific,nice and good👍,5.0
1041,Terrific,"Fentastic Phone - good display, sound, camera, smooth interface, excellent touch - overall excellent.Battery life is simply excellent !!",5.0
1042,Excellent,"Fentastic Phone - good display, sound, camera, smooth interface, excellent touch - overall excellent.Battery life is simply excellent !!",5.0
1043,Great product,very good phone,5.0
1044,Classy product,beautiful,5.0
1045,Very poor,Hate it...  Being a flipkart plus member I bought this phone last month for 12999 now it's showing 10999 same mobile if I purchase in Sangeetha Mobile show room if price drop within 6 months they will give cash back as now how much mobile selling when I receive mobile there is scratch in camera lens but no response. Don't buy in flipkark... Worst experience,1.0
1046,Mind-blowing purchase,super,5.0
1047,Must buy!,nice,5.0
1048,Good choice,nice product I miss  very interesting,4.0
1049,Super!,very good product,5.0
1050,Wonderful,super phone of 2018,5.0
1051,Awesome,both front and back camera are the beast at this price range processor is also osm but ram management is not so good and sometimes screen lighting fluctuates and after the update the screen response works slow and sometimes lag while unlocking the phone by pin,5.0
1052,Super!,superb phone.. build quality is awesome. I dropped this phone around 2 times from bike only screen guard is Brocken..I impressed...gud product from mi.value for money ❤️,5.0
1053,Just wow!,Every Person In My Family Member Using this Phone,5.0
1054,Best in the market!,Superb device excellent both are camera nd very fast delivery I got it within 24 hrs.thnk u Flipkart 😊😊,5.0
1055,Worth the money,Super quality of camera,4.0
1056,Terrific,a best budget phone in this price range.,5.0
